Year,Y_actual,Y_predicted,Residual
1899,100,96.29276024821232,3.7072397517876823
1900,101,102.5087644075922,-1.5087644075921958
1901,112,108.72476856697206,3.2752314330279404
1902,122,115.82877332054906,6.171226679450939
1903,124,123.82077866832319,0.1792213316768141
1904,122,130.03678282770306,-8.036782827703064
1905,143,139.80478936387144,3.1952106361285644
1906,152,152.2367976826312,-0.23679768263119172
1907,151,163.7808054071938,-12.78080540719381
1908,126,171.77281075496794,-45.772810754967935
1909,155,183.31681847953058,-28.316818479530582
1910,159,192.19682442150182,-33.196824421501816
1911,153,143.35679174065993,9.64320825934007
1912,177,164.66880600139095,12.331193998609052
1913,184,170.88481016077083,13.115189839229174
1914,169,157.56480124781393,11.435198752186068
1915,189,175.32481313175646,13.675186868243543
1916,225,207.29283452285296,17.707165477147043
1917,227,209.0688357112472,17.931164288752797
1918,223,205.5168333344587,17.48316666554129
